en_text,jp_text,google_translated,score
"Don't worry, it was just...",え　いや　その　あハハハハ,Ehya That Ahahahaha,0.0
Today is my anniversary with Onee-sama.,今日は黒子とお姉様のアニバーサリー,Today is Kuroko and Older Sister Anniversary,0.2727272727272727
It has been exactly one month since the red string of fate tied us together.,運命の赤い糸で結ばれて　ちょうど一ヶ月目の,Just a month of connection with a red thread of fate,0.19047619047619047
"It's too bad that the gift I ordered didn't arrive, but...",例の品物が届かなかったのは残念ですけど,It is a pity that the item of the example did not reach,0.17391304347826086
A gift that comes from the bottom of my heart!,心を込めたプレゼント,Presents with a heart,0.15384615384615385
Yes! Me! As I was born!,そう　生まれたままの　この私よ,This me remains so born,0.2
Sorry to bother-,お邪魔 します,Excuse me,0.0
"Oh, wow, so this is what an Ojou-sama's room looks like.",わあ　憧れのお嬢様のお部屋,Wow longing lady's room,0.1875
It's so stylish and chic.,おっしゃれ　シック,Ochachine Chic,0.125
The bed is really soft too!,ベッドもふかふか,Bed is also fluffy,0.2222222222222222
"Geez, what's your problem? this is great!",まったく　あんたは何考えてんるの,What's wrong with you,0.14285714285714285
"You should try it too, Uiharu!",お姉様こそ　どうして初春と佐天さんを,Older sisters are the first spring and Sagami,0.0
"Oh, I just happened to meet them while I was out in the city.",たまたま街で会ったのよ　買い物にも付き合ってもらっちゃたし,I happened to meet in the city by chance to get along with the shopping,0.3333333333333333
"they said they wanted to come see our dorm, so...",一度寮を見て見たいって言うから,Because I look at the dormitory once,0.0
The Tokiwadai dorms are as fabulous as I had imagined.,やっぱりすごいですね　常盤台の女子寮　羨ましいなぁ,After all it is amazing,0.0
"The dining hall is huge, too!",食堂なんかもこんな広かったもんね,Such a cafeteria was such a wider,0.0
Our anniversary is totally screwed up now!,せっかくアニバーサリーが台無しですわ,Anniversary is ruined,0.2222222222222222
"Oh, it must be that...",あ　もしかしたら,After that,0.125
Today is a very special day. It's been one month since Kuroko and I were bound together by the red string of fate!,私と黒子が運命の赤い糸で結ばれて　ちょうど一ヶ月の記念日なの,I and Kuroko is tied with a red thread of fate and just a month anniversary,0.2903225806451613
We're two halves of a whole.,私と黒子は二人でひとつ,I and Kuroko alone,0.0
"Uiharu-san, Saten-san, please take care of us.",初春さん 佐天さん これからも私たちをよろしくね,"Mr. Earu Sakata, thank you from now on",0.058823529411764705
"Here's looking at you, kid.",君の瞳に　乾杯,Toast to your eyes,0.0
